n,k,h,alpha,gamma,nominal_r,effective_r,signal_label,signal,delta,I,D,R,signal_over_I,signal_over_D,signal_over_R,trials,trim_recovery_rate,detection_rate,overtrim_rate,undertrim_rate,adaptive_interlock_failure_rate,contamination_cost,contamination_cost_se,estimator,usable_trials,failure_rate,mean,bias,variance,mse,rmse,mse_se,benefit_vs_contaminated_hill,benefit_vs_contaminated_hill_se
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,harmonic_moment_beta_0.5,5000,0.0,0.5002994019199956,0.0002994019199955774,0.0012063905167689086,0.0012062388801752518,0.03473094988875559,2.444012894744309e-05,-5.3925594740697333e-05,6.945576023069288e-06
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,harmonic_moment_beta_1,5000,0.0,0.5007183820984445,0.0007183820984445713,0.0013051755922282894,0.0013054306299492093,0.03613074355655042,2.6605528095486222e-05,-0.00015311734451465487,1.228256570634063e-05
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,harmonic_moment_beta_2,5000,0.0,0.50145688738911,0.001456887389110029,0.0015499673343387019,0.001551779861736382,0.03939263715133048,3.216922666224962e-05,-0.0003994665763018274,2.1317964455399468e-05
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,hill,5000,0.0,0.50324067691441,0.003240676914409896,0.0011602818142259622,0.0011705517447267062,0.03421332700464406,2.454694928757961e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,oracle_trimmed_hill,5000,0.0,0.4996971806836746,-0.00030281931632536094,0.0012087763642002452,0.0012086263084657449,0.03476530322700702,2.4854155991746494e-05,-3.807456373903865e-05,7.875205973448272e-06
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,adaptive_trimmed_hill,5000,0.0,0.5030229569854099,0.0030229569854098113,0.0011633567774628753,0.0011722623750430206,0.03423831735122245,2.453381781446472e-05,-1.7106303163142448e-06,1.7705246147777865e-06
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,harmonic_moment_beta_0.5,5000,0.0,0.5021965374717254,0.0021965374717254496,0.001209389127940814,0.0012139720269799196,0.03484210135712138,2.537631641110588e-05,-4.342028225321345e-05,7.038063310186962e-06
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,harmonic_moment_beta_1,5000,0.0,0.5016530067444825,0.0016530067444825599,0.001307070236281505,0.0013095412535315536,0.03618758424558834,2.735027300229127e-05,-0.00013898950880484717,1.2247822173150758e-05
50000,223,10,0.008542072972012553,0.5,10,10,0.5I,0.8089145338073083,1.0842531981599017,1.6178290676146165,3.532668328430944,7.466592261534039,0.5,0.2289811719082591,0.10833784750435987,5000,0.0048,0.0144,0.0,0.9952,0.0,1.035241708704249e-05,3.4948175793455982e-06,harmonic_moment_beta_2,5000,0.0,0.5014821919977492,0.0014821919977492126,0.0015489567122969879,0.0015508438140727201,0.039380754361397395,3.252407414550829e-05,-0.00038029206934601397,2.0938931504510616e-05
50000,223,10,0.008542072972012553,0.5,10,10,1.5I,2.426743601421925,1.2746534785506471,1.6178290676146165,3.532668328430944,7.466592261534039,1.5,0.6869435157247773,0.3250135425130796,5000,0.1148,0.1204,0.0,0.8852,0.0,0.00012045545325181313,1.0321866175559478e-05,hill,5000,0.0,0.510975617026077,0.010975617026076977,0.0011245749384491551,0.0012448141925645762,0.035281924445310184,2.5698124294134633e-05,0.0,0.0
